School Name,Projected Core Teacher Position Loss,Rep,Senate,ERSB,100% Funding,Positions 100%,95% Funding,Positions 95%,90% Funding,Positions 90%,85% Funding,Positions 85%,80% Funding,Positions 80%
ADDAMS,-2,25,13,10B,"$1,767,317 ",18,"$1,436,760 ",14,"$1,106,203 ",11,"$775,646 ",8,"$445,089 ",4
AIR FORCE HS,0,6,3,8B,"$1,041,114 ",10,"$846,385 ",8,"$651,656 ",7,"$456,928 ",5,"$262,199 ",3
ALBANY PARK,-1,40,20,2B,"$875,983 ",9,"$712,140 ",7,"$548,297 ",5,"$384,454 ",4,"$220,611 ",2
ALCOTT ES,0,12,6,4B,"$1,951,957 ",20,"$1,586,865 ",16,"$1,221,773 ",12,"$856,681 ",9,"$491,589 ",5
ALCOTT HS,-4,40,20,4B,"$1,759,823 ",18,"$1,430,668 ",14,"$1,101,512 ",11,"$772,357 ",8,"$443,202 ",4
ALDRIDGE,-1,29,15,10B,"$1,025,778 ",10,"$833,918 ",8,"$642,057 ",6,"$450,197 ",5,"$258,337 ",3
AMUNDSEN HS,-3,13,7,2B,"$3,969,162 ",40,"$3,226,774 ",32,"$2,484,386 ",25,"$1,741,999 ",17,"$999,611 ",10
ARIEL,0,25,13,10A,"$1,699,224 ",17,"$1,381,403 ",14,"$1,063,582 ",11,"$745,761 ",7,"$427,940 ",4
ARMOUR,0,24,12,7B,"$1,173,787 ",12,"$954,243 ",10,"$734,699 ",7,"$515,155 ",5,"$295,612 ",3
ARMSTRONG G,1,14,7,2A,"$3,575,888 ",36,"$2,907,058 ",29,"$2,238,228 ",22,"$1,569,398 ",16,"$900,567 ",9
ASHBURN,-1,31,16,8A,"$1,574,533 ",16,"$1,280,034 ",13,"$985,535 ",10,"$691,036 ",7,"$396,537 ",4
ASHE,-2,33,17,10B,"$1,480,585 ",15,"$1,203,658 ",12,"$926,731 ",9,"$649,804 ",6,"$372,877 ",4
AUDUBON,-2,11,6,4B,"$1,903,594 ",19,"$1,547,548 ",15,"$1,191,502 ",12,"$835,456 ",8,"$479,410 ",5
AUSTIN CCA HS,0,8,4,5A,"$982,662 ",10,"$798,866 ",8,"$615,070 ",6,"$431,274 ",4,"$247,478 ",2
AVALON PARK,0,33,17,10B,"$1,108,928 ",11,"$901,515 ",9,"$694,103 ",7,"$486,690 ",5,"$279,277 ",3
AVONDALE-LOGANDALE,-2,40,20,3A,"$1,815,827 ",18,"$1,476,197 ",15,"$1,136,567 ",11,"$796,936 ",8,"$457,306 ",5
AZUELA,-2,22,11,8A,"$2,028,838 ",20,"$1,649,366 ",16,"$1,269,894 ",13,"$890,423 ",9,"$510,951 ",5
BACK OF THE YARDS HS,-2,1,1,8B,"$2,906,017 ",29,"$2,362,478 ",24,"$1,818,940 ",18,"$1,275,402 ",13,"$731,864 ",7
BARNARD,0,35,18,9B,"$987,738 ",10,"$802,993 ",8,"$618,247 ",6,"$433,502 ",4,"$248,756 ",2
BARRY,-3,39,20,3A,"$1,738,496 ",17,"$1,413,330 ",14,"$1,088,163 ",11,"$762,997 ",8,"$437,831 ",4
BARTON,-1,31,16,9A,"$1,846,983 ",18,"$1,501,525 ",15,"$1,156,067 ",12,"$810,610 ",8,"$465,152 ",5
BASS,-3,32,16,9A,"$1,373,579 ",14,"$1,116,666 ",11,"$859,753 ",9,"$602,841 ",6,"$345,928 ",3
BATEMAN,-4,40,20,2B,"$2,686,195 ",27,"$2,183,772 ",22,"$1,681,349 ",17,"$1,178,926 ",12,"$676,503 ",7
BEASLEY,-1,5,3,6B,"$3,610,162 ",36,"$2,934,921 ",29,"$2,259,680 ",23,"$1,584,440 ",16,"$909,199 ",9
BEAUBIEN,-1,19,10,1A,"$2,607,719 ",26,"$2,119,974 ",21,"$1,632,229 ",16,"$1,144,484 ",11,"$656,739 ",7
BEETHOVEN,-3,5,3,6B,"$1,230,446 ",12,"$1,000,305 ",10,"$770,163 ",8,"$540,022 ",5,"$309,881 ",3
BEIDLER,0,10,5,5B,"$874,799 ",9,"$711,178 ",7,"$547,556 ",5,"$383,935 ",4,"$220,313 ",2
BELDING,-1,19,10,1B,"$1,791,230 ",18,"$1,456,200 ",15,"$1,121,170 ",11,"$786,141 ",8,"$451,111 ",5
BELL,-1,11,6,4B,"$2,819,145 ",28,"$2,291,855 ",23,"$1,764,565 ",18,"$1,237,276 ",12,"$709,986 ",7
BELMONT-CRAGIN,0,3,2,3B,"$1,918,290 ",19,"$1,559,495 ",16,"$1,200,700 ",12,"$841,905 ",8,"$483,111 ",5
BENNETT,-1,34,17,9B,"$1,143,242 ",11,"$929,411 ",9,"$715,580 ",7,"$501,750 ",5,"$287,919 ",3
BLACK,1,33,17,10B,"$1,228,132 ",12,"$998,423 ",10,"$768,715 ",8,"$539,006 ",5,"$309,298 ",3
BLAINE,-1,13,7,4A,"$2,049,239 ",20,"$1,665,951 ",17,"$1,282,664 ",13,"$899,377 ",9,"$516,089 ",5
BOGAN HS,-5,32,16,8A,"$2,489,704 ",25,"$2,024,033 ",20,"$1,558,361 ",16,"$1,092,689 ",11,"$627,018 ",6
BOND,0,32,16,9A,"$1,193,290 ",12,"$970,099 ",10,"$746,907 ",7,"$523,715 ",5,"$300,523 ",3
BOUCHET,0,26,13,10A,"$2,523,721 ",25,"$2,051,687 ",21,"$1,579,653 ",16,"$1,107,619 ",11,"$635,585 ",6
BOWEN HS,1,25,13,10B,"$1,454,881 ",15,"$1,182,762 ",12,"$910,642 ",9,"$638,523 ",6,"$366,404 ",4
BRADWELL,-3,25,13,10A,"$1,607,934 ",16,"$1,307,188 ",13,"$1,006,442 ",10,"$705,696 ",7,"$404,949 ",4
BRENNEMANN,-2,11,6,4A,"$1,675,187 ",17,"$1,361,862 ",14,"$1,048,537 ",10,"$735,212 ",7,"$421,886 ",4
BRENTANO,-1,39,20,3A,"$2,150,166 ",22,"$1,748,001 ",17,"$1,345,837 ",13,"$943,672 ",9,"$541,507 ",5
BRIDGE,-3,19,10,1B,"$2,931,284 ",29,"$2,383,020 ",24,"$1,834,756 ",18,"$1,286,492 ",13,"$738,227 ",7
BRIGHT,0,33,17,10B,"$1,432,529 ",14,"$1,164,590 ",12,"$896,652 ",9,"$628,713 ",6,"$360,774 ",4
BRIGHTON PARK,-1,24,12,8B,"$1,244,077 ",12,"$1,011,386 ",10,"$778,695 ",8,"$546,005 ",5,"$313,314 ",3
BRONZEVILLE CLASSICAL,-2,5,3,6B,"$1,085,990 ",11,"$882,867 ",9,"$679,745 ",7,"$476,623 ",5,"$273,500 ",3
BRONZEVILLE HS,0,5,3,6B,"$912,234 ",9,"$741,611 ",7,"$570,987 ",6,"$400,364 ",4,"$229,741 ",2
BROOKS HS,-2,28,14,9B,"$2,849,733 ",28,"$2,316,722 ",23,"$1,783,711 ",18,"$1,250,700 ",13,"$717,689 ",7
BROWN R,0,28,14,9B,"$1,103,365 ",11,"$896,993 ",9,"$690,621 ",7,"$484,249 ",5,"$277,876 ",3
BROWN W,0,10,5,5B,"$1,142,367 ",11,"$928,700 ",9,"$715,033 ",7,"$501,366 ",5,"$287,699 ",3
